repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
5,0.6278145695364239,0.622343253064688,0.7460228490779757,0.5713060653086595,0.7460228490779757,"[0.7692147034252297, 0.7391114982578397, 0.7477099236641221, 0.7531135531135531, 0.7209645669291338]"
10,0.6258278145695364,0.6090219332719252,0.7475754640712564,0.5551441868666495,0.7475754640712564,"[0.7692147034252297, 0.7391114982578397, 0.7477099236641221, 0.7531135531135531, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
20,0.6357615894039734,0.6109210726371085,0.7532483118358929,0.5616380127646978,0.7532483118358929,"[0.7692147034252297, 0.7391114982578397, 0.7477099236641221, 0.7531135531135531, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.7947761194029851, 0.7983796296296296, 0.7286259541984732, 0.7573529411764706, 0.6848132487667371, 0.7394701086956521, 0.7527151211361738, 0.7811679790026245, 0.7789363920750783, 0.7729741019214703]"
50,0.6445033112582782,0.6155706644594288,0.7617358398871792,0.5697211220898992,0.7617358398871792,"[0.7692147034252297, 0.7391114982578397, 0.7477099236641221, 0.7531135531135531, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.7947761194029851, 0.7983796296296296, 0.7286259541984732, 0.7573529411764706, 0.6848132487667371, 0.7394701086956521, 0.7527151211361738, 0.7811679790026245, 0.7789363920750783, 0.7729741019214703, 0.7961538461538462, 0.7646520146520145, 0.7712829736211031, 0.8175182481751825, 0.7831501831501831, 0.7615873015873017, 0.7091535433070865, 0.7654553049289892, 0.7671296296296295, 0.7418957011980268, 0.7227099236641221, 0.7872685185185186, 0.7925925925925926, 0.7639933166248956, 0.7653643546971027, 0.8021181716833892, 0.7977099236641221, 0.7805023923444976, 0.7532855436081243, 0.7805023923444976, 0.7053921568627451, 0.7573029891304348, 0.7884615384615384, 0.7543859649122807, 0.7620719929762951, 0.7679704016913319, 0.7577751196172247, 0.7620719929762951, 0.7449074074074074, 0.7974603174603173]"
100,0.6450331125827815,0.615469144481403,0.760564128378622,0.5699632131092025,0.760564128378622,"[0.7692147034252297, 0.7391114982578397, 0.7477099236641221, 0.7531135531135531, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589, 0.7947761194029851, 0.7983796296296296, 0.7286259541984732, 0.7573529411764706, 0.6848132487667371, 0.7394701086956521, 0.7527151211361738, 0.7811679790026245, 0.7789363920750783, 0.7729741019214703, 0.7961538461538462, 0.7646520146520145, 0.7712829736211031, 0.8175182481751825, 0.7831501831501831, 0.7615873015873017, 0.7091535433070865, 0.7654553049289892, 0.7671296296296295, 0.7418957011980268, 0.7227099236641221, 0.7872685185185186, 0.7925925925925926, 0.7639933166248956, 0.7653643546971027, 0.8021181716833892, 0.7977099236641221, 0.7805023923444976, 0.7532855436081243, 0.7805023923444976, 0.7053921568627451, 0.7573029891304348, 0.7884615384615384, 0.7543859649122807, 0.7620719929762951, 0.7679704016913319, 0.7577751196172247, 0.7620719929762951, 0.7449074074074074, 0.7974603174603173, 0.7574427480916031, 0.7454212454212453, 0.741436925647452, 0.8073514077163713, 0.7437343358395991, 0.7723749119097957, 0.7840909090909091, 0.7503987240829346, 0.7077105978260869, 0.8082706766917294, 0.7531135531135531, 0.7683823529411764, 0.7527151211361738, 0.8507462686567164, 0.7429461942257218, 0.7165071770334928, 0.71007326007326, 0.7489572471324295, 0.8345588235294118, 0.7954212454212453, 0.8287971905179983, 0.7570385818561002, 0.7200956937799043, 0.8015267175572519, 0.7036645525017619, 0.7395833333333334, 0.71007326007326, 0.7616330114135206, 0.7781543274244004, 0.7842902711323764, 0.77292663476874, 0.7718137254901961, 0.7455555555555555, 0.8068086883876358, 0.6948621553884713, 0.7838827838827839, 0.7417979002624671, 0.7116168478260869, 0.7332134292565948, 0.7494904891304348, 0.7839008363201911, 0.7274247491638797, 0.7825980392156863, 0.7413671599718112, 0.7654199475065616, 0.7198461538461538, 0.7498412698412699, 0.7913669064748201, 0.7684989429175476, 0.7508779631255487]"
