repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
5,0.5611940298507463,0.6232625589985734,0.7034578676706481,0.5355392304493817,0.7034578676706481,"[0.6779162339910004, 0.7540584415584417, 0.656140350877193, 0.7306422018348624, 0.6985321100917431]"
10,0.5604477611940297,0.629413580624418,0.698389094107032,0.5400727921191086,0.698389094107032,"[0.6779162339910004, 0.7540584415584417, 0.656140350877193, 0.7306422018348624, 0.6985321100917431, 0.7012807199723088, 0.6844362745098039, 0.6441707717569787, 0.7291666666666667, 0.7075471698113207]"
20,0.5634328358208955,0.6278701095601484,0.6960183798078415,0.542084250189612,0.6960183798078416,"[0.6779162339910004, 0.7540584415584417, 0.656140350877193, 0.7306422018348624, 0.6985321100917431, 0.7012807199723088, 0.6844362745098039, 0.6441707717569787, 0.7291666666666667, 0.7075471698113207, 0.7199723087573555, 0.6647703329119259, 0.7233009708737864, 0.6382687034860948, 0.7177830003916961, 0.7132749326145553, 0.6467146714671468, 0.709557383470427, 0.7059536171685705, 0.6968807339449541]"
50,0.5707462686567165,0.6367154558037328,0.6995757008645859,0.5530224538313844,0.6995757008645859,"[0.6779162339910004, 0.7540584415584417, 0.656140350877193, 0.7306422018348624, 0.6985321100917431, 0.7012807199723088, 0.6844362745098039, 0.6441707717569787, 0.7291666666666667, 0.7075471698113207, 0.7199723087573555, 0.6647703329119259, 0.7233009708737864, 0.6382687034860948, 0.7177830003916961, 0.7132749326145553, 0.6467146714671468, 0.709557383470427, 0.7059536171685705, 0.6968807339449541, 0.7022792022792024, 0.7118589743589744, 0.6756410256410257, 0.7199723087573555, 0.7054187192118226, 0.7168806764797996, 0.7162698412698413, 0.6734164070612668, 0.6282051282051282, 0.6939449541284404, 0.693019943019943, 0.8027522935779816, 0.6664220183486238, 0.7416772018541928, 0.7248196248196248, 0.6558823529411764, 0.6816091954022989, 0.6877064220183486, 0.7205882352941176, 0.6709558823529411, 0.699123989218329, 0.7340548340548341, 0.7215099715099715, 0.6500519210799585, 0.7411525211399937, 0.7233009708737864, 0.6621212121212121, 0.6954177897574124, 0.7208538587848933, 0.7215099715099715]"
100,0.5692537313432836,0.6379726350542416,0.7018209524010143,0.551946751221242,0.7018209524010143,"[0.6779162339910004, 0.7540584415584417, 0.656140350877193, 0.7306422018348624, 0.6985321100917431, 0.7012807199723088, 0.6844362745098039, 0.6441707717569787, 0.7291666666666667, 0.7075471698113207, 0.7199723087573555, 0.6647703329119259, 0.7233009708737864, 0.6382687034860948, 0.7177830003916961, 0.7132749326145553, 0.6467146714671468, 0.709557383470427, 0.7059536171685705, 0.6968807339449541, 0.7022792022792024, 0.7118589743589744, 0.6756410256410257, 0.7199723087573555, 0.7054187192118226, 0.7168806764797996, 0.7162698412698413, 0.6734164070612668, 0.6282051282051282, 0.6939449541284404, 0.693019943019943, 0.8027522935779816, 0.6664220183486238, 0.7416772018541928, 0.7248196248196248, 0.6558823529411764, 0.6816091954022989, 0.6877064220183486, 0.7205882352941176, 0.6709558823529411, 0.699123989218329, 0.7340548340548341, 0.7215099715099715, 0.6500519210799585, 0.7411525211399937, 0.7233009708737864, 0.6621212121212121, 0.6954177897574124, 0.7208538587848933, 0.7215099715099715, 0.7433628318584071, 0.6942401960784313, 0.6678921568627452, 0.7227088948787063, 0.6768472906403941, 0.7207207207207207, 0.6807692307692308, 0.6824160609207337, 0.6956168831168831, 0.6556513409961686, 0.7093577981651376, 0.7069088319088319, 0.6537878787878788, 0.7322935779816513, 0.7252941176470589, 0.6510091743119266, 0.690700808625337, 0.71875, 0.7104534440983039, 0.7414678899082568, 0.7001347708894878, 0.8018018018018018, 0.7321428571428572, 0.7227272727272727, 0.7073207320732073, 0.6900641025641026, 0.7673267326732673, 0.6893577981651376, 0.6921692169216922, 0.71875, 0.658974358974359, 0.7151285292878213, 0.7122507122507122, 0.7589490968801315, 0.7743589743589744, 0.6634862385321101, 0.6571691176470589, 0.7048517520215634, 0.6542351453855879, 0.7034860947904427, 0.6793859649122808, 0.7085579514824798, 0.6798029556650246, 0.6944444444444444, 0.6968196819681969, 0.7198165137614678, 0.7047706422018348, 0.708773991382687, 0.7310897435897435, 0.6749138740995929]"
