repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
5,0.5557046979865772,0.6304183850592262,0.7160673679723771,0.5330408735455487,0.7160673679723771,"[0.7328469884025439, 0.7345931997571342, 0.7171666666666667, 0.6995833333333333, 0.6961466517022072]"
10,0.561744966442953,0.6359610660388026,0.7226748400537495,0.5397102778193875,0.7226748400537495,"[0.7328469884025439, 0.7345931997571342, 0.7171666666666667, 0.6995833333333333, 0.6961466517022072, 0.7199193548387097, 0.7336404914529915, 0.73, 0.7381160369804178, 0.7247356774034914]"
20,0.559228187919463,0.6371451565626196,0.7137165371373385,0.5405295406327779,0.7137165371373385,"[0.7328469884025439, 0.7345931997571342, 0.7171666666666667, 0.6995833333333333, 0.6961466517022072, 0.7199193548387097, 0.7336404914529915, 0.73, 0.7381160369804178, 0.7247356774034914, 0.6884900048419451, 0.6945488721804511, 0.6971709206612714, 0.7098291485093726, 0.7058150377214547, 0.6997126436781609, 0.6914845173041895, 0.714048557792073, 0.7217610845956977, 0.724721554924656]"
50,0.556778523489933,0.6352330694222137,0.7124660360187275,0.537424747171633,0.7124660360187275,"[0.7328469884025439, 0.7345931997571342, 0.7171666666666667, 0.6995833333333333, 0.6961466517022072, 0.7199193548387097, 0.7336404914529915, 0.73, 0.7381160369804178, 0.7247356774034914, 0.6884900048419451, 0.6945488721804511, 0.6971709206612714, 0.7098291485093726, 0.7058150377214547, 0.6997126436781609, 0.6914845173041895, 0.714048557792073, 0.7217610845956977, 0.724721554924656, 0.697467071935157, 0.6892953407778206, 0.7065972222222222, 0.67675, 0.7318919705903764, 0.711381074168798, 0.7515833333333333, 0.7301116673084328, 0.669311445508436, 0.6924432423571838, 0.73075, 0.752016129032258, 0.7158064516129032, 0.68475, 0.6711729362591432, 0.7139618511569731, 0.724542502951594, 0.7084472389283762, 0.6794077955068667, 0.683227778991046, 0.7273557196157816, 0.7418067226890755, 0.7401907257770983, 0.7489374620522162, 0.7156139315230224, 0.7019607843137254, 0.7222222222222222, 0.7003114498811573, 0.7181752873563219, 0.7114817001180638]"
100,0.555234899328859,0.6360656142622939,0.7117471137372909,0.5367253380924288,0.7117471137372909,"[0.7328469884025439, 0.7345931997571342, 0.7171666666666667, 0.6995833333333333, 0.6961466517022072, 0.7199193548387097, 0.7336404914529915, 0.73, 0.7381160369804178, 0.7247356774034914, 0.6884900048419451, 0.6945488721804511, 0.6971709206612714, 0.7098291485093726, 0.7058150377214547, 0.6997126436781609, 0.6914845173041895, 0.714048557792073, 0.7217610845956977, 0.724721554924656, 0.697467071935157, 0.6892953407778206, 0.7065972222222222, 0.67675, 0.7318919705903764, 0.711381074168798, 0.7515833333333333, 0.7301116673084328, 0.669311445508436, 0.6924432423571838, 0.73075, 0.752016129032258, 0.7158064516129032, 0.68475, 0.6711729362591432, 0.7139618511569731, 0.724542502951594, 0.7084472389283762, 0.6794077955068667, 0.683227778991046, 0.7273557196157816, 0.7418067226890755, 0.7401907257770983, 0.7489374620522162, 0.7156139315230224, 0.7019607843137254, 0.7222222222222222, 0.7003114498811573, 0.7181752873563219, 0.7114817001180638, 0.6700561241333775, 0.694511217948718, 0.6891133557800224, 0.7206582633053221, 0.7212355798421373, 0.7176800472255018, 0.7059523809523809, 0.7231200407658149, 0.7246716697936211, 0.699360341151386, 0.6997571341833637, 0.7491872449332502, 0.7104772399762651, 0.724721554924656, 0.7288793103448276, 0.688090318772137, 0.708502024291498, 0.7317523236741389, 0.7097035040431268, 0.6735129068462402, 0.6967636022514071, 0.6738006842833224, 0.70237315279901, 0.7048517520215634, 0.7191235059760956, 0.6782230964675027, 0.7165601023017902, 0.7275702733923757, 0.7387919023030899, 0.7613125751534713, 0.6806799155565262, 0.6901564344746163, 0.7048421372191863, 0.6990850059031877, 0.7638297872340425, 0.7098419540229886, 0.7130388585306617, 0.7180645161290322, 0.6845384419767737, 0.7018999781611706, 0.7137851366961879, 0.6994252873563219, 0.7205013093901983, 0.6922225501770956, 0.712, 0.7208713272543059, 0.7328069657615113, 0.74390756302521, 0.7131856791299516, 0.7264134949563448]"
