repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
5,0.503448275862069,0.550091808352678,0.6214992521762778,0.43490906875600677,0.6214992521762778,"[0.7403846153846154, 0.6547169811320754, 0.6075471698113208, 0.30092592592592593, 0.803921568627451]"
10,0.5224137931034483,0.5572427596853288,0.6234219214213664,0.44268343204637917,0.6234219214213664,"[0.7403846153846154, 0.6547169811320754, 0.6075471698113208, 0.30092592592592593, 0.803921568627451, 0.6282051282051282, 0.5583333333333332, 0.6132075471698113, 0.6218487394957983, 0.7051282051282052]"
20,0.5241379310344827,0.5616148475669789,0.6440994433896765,0.4528072424108217,0.6440994433896765,"[0.7403846153846154, 0.6547169811320754, 0.6075471698113208, 0.30092592592592593, 0.803921568627451, 0.6282051282051282, 0.5583333333333332, 0.6132075471698113, 0.6218487394957983, 0.7051282051282052, 0.6955128205128206, 0.6736694677871149, 0.6638655462184874, 0.6875, 0.7830188679245282, 0.7019230769230769, 0.5544871794871795, 0.6775, 0.6121794871794871, 0.5981132075471698]"
50,0.5324137931034484,0.5636177367685216,0.6487968938452805,0.4603307738647526,0.6487968938452805,"[0.7403846153846154, 0.6547169811320754, 0.6075471698113208, 0.30092592592592593, 0.803921568627451, 0.6282051282051282, 0.5583333333333332, 0.6132075471698113, 0.6218487394957983, 0.7051282051282052, 0.6955128205128206, 0.6736694677871149, 0.6638655462184874, 0.6875, 0.7830188679245282, 0.7019230769230769, 0.5544871794871795, 0.6775, 0.6121794871794871, 0.5981132075471698, 0.6349206349206349, 0.7647058823529411, 0.7395833333333333, 0.5370370370370371, 0.641025641025641, 0.5897435897435899, 0.6547169811320754, 0.7727272727272727, 0.6932773109243697, 0.6301886792452831, 0.7596153846153846, 0.76, 0.6270833333333333, 0.7128851540616247, 0.6666666666666667, 0.5354166666666668, 0.6442577030812324, 0.6264150943396227, 0.6775, 0.6475, 0.6641509433962265, 0.5452830188679245, 0.6414565826330533, 0.605, 0.7551020408163265, 0.5833333333333333, 0.6547169811320754, 0.5092592592592593, 0.679245283018868, 0.6050420168067228]"
100,0.5349999999999999,0.5686049200130625,0.6682537497621632,0.46479016036835913,0.6682537497621632,"[0.7403846153846154, 0.6547169811320754, 0.6075471698113208, 0.30092592592592593, 0.803921568627451, 0.6282051282051282, 0.5583333333333332, 0.6132075471698113, 0.6218487394957983, 0.7051282051282052, 0.6955128205128206, 0.6736694677871149, 0.6638655462184874, 0.6875, 0.7830188679245282, 0.7019230769230769, 0.5544871794871795, 0.6775, 0.6121794871794871, 0.5981132075471698, 0.6349206349206349, 0.7647058823529411, 0.7395833333333333, 0.5370370370370371, 0.641025641025641, 0.5897435897435899, 0.6547169811320754, 0.7727272727272727, 0.6932773109243697, 0.6301886792452831, 0.7596153846153846, 0.76, 0.6270833333333333, 0.7128851540616247, 0.6666666666666667, 0.5354166666666668, 0.6442577030812324, 0.6264150943396227, 0.6775, 0.6475, 0.6641509433962265, 0.5452830188679245, 0.6414565826330533, 0.605, 0.7551020408163265, 0.5833333333333333, 0.6547169811320754, 0.5092592592592593, 0.679245283018868, 0.6050420168067228, 0.6157407407407407, 0.7115384615384616, 0.653061224489796, 0.6121794871794871, 0.6898148148148149, 0.7040816326530612, 0.6342592592592593, 0.7592592592592593, 0.655, 0.7636363636363637, 0.6700680272108844, 0.5416666666666667, 0.7030812324929973, 0.7346938775510203, 0.6598639455782314, 0.6830188679245284, 0.6992263056092843, 0.6762820512820513, 0.79, 0.8557692307692308, 0.5993589743589745, 0.6638655462184874, 0.6485260770975056, 0.7818181818181819, 0.7264150943396226, 0.625, 0.7058823529411764, 0.6830188679245284, 0.6375, 0.6791666666666667, 0.5801282051282052, 0.7181818181818183, 0.7410714285714286, 0.71, 0.625, 0.5770975056689343, 0.6735849056603773, 0.7636363636363637, 0.7311411992263056, 0.7452830188679245, 0.5896358543417367, 0.6886792452830188, 0.7607709750566893, 0.7264150943396226, 0.5521541950113379, 0.6025641025641025, 0.6666666666666667, 0.7596153846153846, 0.8333333333333334, 0.7777777777777778]"
