repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
5,0.6134615384615385,0.6100863803849326,0.7410941232680364,0.5500310100082647,0.7410941232680364,"[0.7197802197802199, 0.75, 0.7692307692307692, 0.7309523809523809, 0.7355072463768115]"
10,0.6067307692307692,0.61344513311512,0.7499897236052183,0.547106142263228,0.7499897236052182,"[0.7197802197802199, 0.75, 0.7692307692307692, 0.7309523809523809, 0.7355072463768115, 0.7250936329588014, 0.8031914893617021, 0.7444444444444445, 0.7414772727272727, 0.7802197802197802]"
20,0.6009615384615383,0.6093258068647859,0.7496899801546383,0.538391944874501,0.7496899801546383,"[0.7197802197802199, 0.75, 0.7692307692307692, 0.7309523809523809, 0.7355072463768115, 0.7250936329588014, 0.8031914893617021, 0.7444444444444445, 0.7414772727272727, 0.7802197802197802, 0.7722222222222223, 0.6873207114170969, 0.7604166666666666, 0.7747252747252747, 0.7747252747252747, 0.7752808988764045, 0.7223858615611194, 0.7700374531835206, 0.6703296703296704, 0.7864583333333334]"
50,0.5959615384615384,0.6023215459495461,0.7414857960896262,0.529307607284353,0.7414857960896262,"[0.7197802197802199, 0.75, 0.7692307692307692, 0.7309523809523809, 0.7355072463768115, 0.7250936329588014, 0.8031914893617021, 0.7444444444444445, 0.7414772727272727, 0.7802197802197802, 0.7722222222222223, 0.6873207114170969, 0.7604166666666666, 0.7747252747252747, 0.7747252747252747, 0.7752808988764045, 0.7223858615611194, 0.7700374531835206, 0.6703296703296704, 0.7864583333333334, 0.7159574468085106, 0.7212765957446808, 0.8097826086956521, 0.7849462365591398, 0.7663043478260869, 0.6608527131782946, 0.7472527472527472, 0.7475655430711611, 0.7502443792766373, 0.7164082687338501, 0.7608695652173914, 0.7391812865497076, 0.7637362637362639, 0.7028985507246377, 0.7, 0.7365079365079366, 0.7554347826086957, 0.7609970674486803, 0.7053191489361702, 0.7086142322097378, 0.619047619047619, 0.7897727272727273, 0.7233918128654969, 0.7700374531835206, 0.7631578947368421, 0.7287390029325513, 0.7137681159420289, 0.7692307692307692, 0.7128654970760234, 0.7363295880149813]"
100,0.5954807692307693,0.6039095695523288,0.7412271788759658,0.53053293814375,0.7412271788759657,"[0.7197802197802199, 0.75, 0.7692307692307692, 0.7309523809523809, 0.7355072463768115, 0.7250936329588014, 0.8031914893617021, 0.7444444444444445, 0.7414772727272727, 0.7802197802197802, 0.7722222222222223, 0.6873207114170969, 0.7604166666666666, 0.7747252747252747, 0.7747252747252747, 0.7752808988764045, 0.7223858615611194, 0.7700374531835206, 0.6703296703296704, 0.7864583333333334, 0.7159574468085106, 0.7212765957446808, 0.8097826086956521, 0.7849462365591398, 0.7663043478260869, 0.6608527131782946, 0.7472527472527472, 0.7475655430711611, 0.7502443792766373, 0.7164082687338501, 0.7608695652173914, 0.7391812865497076, 0.7637362637362639, 0.7028985507246377, 0.7, 0.7365079365079366, 0.7554347826086957, 0.7609970674486803, 0.7053191489361702, 0.7086142322097378, 0.619047619047619, 0.7897727272727273, 0.7233918128654969, 0.7700374531835206, 0.7631578947368421, 0.7287390029325513, 0.7137681159420289, 0.7692307692307692, 0.7128654970760234, 0.7363295880149813, 0.765625, 0.7448680351906158, 0.7563492063492064, 0.7142322097378278, 0.7407031778228533, 0.7644194756554308, 0.7869318181818181, 0.7233626588465298, 0.7638297872340425, 0.6865942028985507, 0.7159574468085106, 0.692063492063492, 0.6653250773993808, 0.7696629213483146, 0.7419475655430712, 0.7197802197802198, 0.7339181286549707, 0.7341153470185728, 0.774547803617571, 0.7819148936170213, 0.6803519061583578, 0.6964809384164223, 0.6861423220973784, 0.7265957446808511, 0.7119047619047619, 0.7409420289855073, 0.7502443792766373, 0.7222222222222222, 0.7747252747252747, 0.782608695652174, 0.7111302352266207, 0.7659574468085106, 0.6931818181818181, 0.6992753623188407, 0.8068181818181819, 0.7172312223858616, 0.7582417582417582, 0.7355072463768115, 0.7166666666666668, 0.7736842105263158, 0.8263157894736842, 0.7372340425531916, 0.782608695652174, 0.7717391304347826, 0.8043478260869565, 0.8181818181818181, 0.7142857142857143, 0.7631578947368421, 0.75, 0.6544962812711291]"
